,team_id,cgpa,onlineCourse,completeCourse,internetspeed<,Year_1.0,Year_2.0,Year_3.0,Year_4.0,Gender_0.0,Gender_1.0,Gender_3.0,elsiLab_0.0,elsiLab_1.0,elsiLab_2.0,ssc_board_0.0,ssc_board_1.0,ssc_board_2.0,ssc_board_3.0,ssc_board_4.0,hsc_board_0.0,hsc_board_1.0,hsc_board_2.0,hsc_board_3.0,hsc_board_4.0,workstation_1.0,workstation_2.0,sub_ros_0.0,sub_ros_1.0,sub_ros_2.0,sub_ros_3.0,sub_ros_4.0,sub_ip_0.0,sub_ip_1.0,sub_ip_2.0,sub_ip_3.0,sub_ip_4.0,sub_emb_c_0.0,sub_emb_c_1.0,sub_emb_c_2.0,sub_emb_c_3.0,sub_emb_c_4.0,sub_ml_0.0,sub_ml_1.0,sub_ml_2.0,sub_ml_3.0,sub_ml_4.0,sub_ap_0.0,sub_ap_1.0,sub_ap_2.0,sub_ap_3.0,sub_ap_4.0,sub_cs_0.0,sub_cs_1.0,sub_cs_2.0,sub_cs_3.0,sub_cs_4.0,sub_mss_0.0,sub_mss_1.0,sub_mss_2.0,sub_mss_3.0,sub_mss_4.0,sub_fpga_0.0,sub_fpga_1.0,sub_fpga_2.0,sub_fpga_3.0,sub_fpga_4.0,sub_mm_0.0,sub_mm_1.0,sub_mm_2.0,sub_mm_3.0,sub_mm_4.0,sub_de_0.0,sub_de_1.0,sub_de_2.0,sub_de_3.0,sub_de_4.0,preference1_0.0,preference1_1.0,preference1_2.0,preference1_3.0,preference1_4.0,preference1_5.0,preference2_0.0,preference2_1.0,preference2_2.0,preference2_3.0,preference2_4.0,preference2_5.0,preference3_0.0,preference3_1.0,preference3_2.0,preference3_3.0,preference3_4.0,preference3_5.0,preference4_0.0,preference4_1.0,preference4_2.0,preference4_3.0,preference4_4.0,preference4_5.0,preference5_0.0,preference5_1.0,preference5_2.0,preference5_3.0,preference5_4.0,preference5_5.0,preference6_0.0,preference6_1.0,preference6_2.0,preference6_3.0,preference6_4.0,preference6_5.0,IS_eLSI_0,IS_eLSI_1,Participation_Freq_0,Participation_Freq_1,Participation_Freq_2,Participation_Freq_3,Internet_option_freq_0,Internet_option_freq_1,Internet_option_freq_2,Internet_option_freq_3,Internet_option_freq_4,Internet_option_freq_5,Department_category_0.0,Department_category_1.0,Department_category_2.0,Department_category_3.0,Ram_Avg,SingleCore_Avg,MultiCore_Avg,GeekBench(OpenCL)_Avg
170,1277,7.2875,1.0,1.0,50.0,0,4,0,0,4,0,0,0,0,4,1,2,1,0,0,1,3,0,0,0,2,2,2,2,0,0,0,1,2,1,0,0,1,1,1,0,1,1,3,0,0,0,2,2,0,0,0,3,1,0,0,0,2,2,0,0,0,3,1,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,2,2,0,0,0,2,0,1,1,0,4,0,0,0,4.0,260.5,1504.5,18577.0
171,1278,8.4625,0.0,0.0,50.0,0,4,0,0,4,0,0,0,0,4,1,2,1,0,0,2,2,0,0,0,2,2,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,1,0,1,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,0,4,0,0,6.0,435.5,1884.25,25619.25
172,1279,8.25,2.0,2.0,50.0,0,0,4,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,2,2,1,3,0,0,0,1,3,0,0,0,0,4,0,0,0,1,3,0,0,0,2,1,1,0,0,3,1,0,0,0,3,1,0,0,0,3,1,0,0,0,1,3,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,3,1,0,0,4,0,0,0,0,0,4,0,0,4.0,356.25,1216.5,15074.25
173,1280,8.76,2.25,2.0,10.0,1,3,0,0,3,1,0,0,0,4,2,1,1,0,0,2,1,1,0,0,4,0,2,2,0,0,0,2,1,1,0,0,2,1,1,0,0,1,0,3,0,0,3,1,0,0,0,3,1,0,0,0,1,3,0,0,0,1,2,1,0,0,3,0,1,0,0,1,1,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,2,0,1,1,4.5,673.5,1675.25,3389.5
174,1281,8.085,0.5,0.0,50.0,0,4,0,0,4,0,0,0,0,4,1,3,0,0,0,1,3,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,2,0,2,0,0,4,0,0,0,6.0,929.75,3779.5,26012.0
175,1282,9.622333333333334,0.0,0.0,10.0,4,0,0,0,4,0,0,0,0,4,3,1,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,6.0,904.0,3869.25,24331.5
176,1283,9.3625,5.0,2.75,50.0,0,0,4,0,3,1,0,0,0,4,0,2,2,0,0,3,1,0,0,0,4,0,2,2,0,0,0,2,2,0,0,0,1,1,2,0,0,1,2,1,0,0,1,2,1,0,0,1,2,1,0,0,1,2,1,0,0,0,1,3,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,3,1,0,0,0,4,0,0,0,8.0,989.0,3221.75,21354.75
177,1284,8.258252500000001,1.0,0.5,10.0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,0,4,0,0,0,0,3,0,1,0,0,4,0,0,0,0,2,2,0,0,0,4,0,0,0,0,3,1,0,0,0,3,1,0,0,0,4,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,4,0,0,0,0,1,3,0,0,0,4,0,0,0,7.0,948.75,2910.25,32615.75
178,1286,7.58,0.0,0.0,50.0,4,0,0,0,4,0,0,0,0,4,3,0,1,0,0,3,1,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,1,3,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,1,0,0,0,1,0,3,0,7.0,908.25,2297.75,7550.0
179,1287,8.4475,28.5,23.25,50.0,0,0,4,0,4,0,0,0,4,0,1,3,0,0,0,3,1,0,0,0,4,0,1,1,2,0,0,0,3,1,0,0,0,1,2,1,0,3,0,1,0,0,0,2,1,1,0,0,3,1,0,0,2,1,0,1,0,2,2,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,1,3,0,0,0,2,1,0,1,0,2,0,2,0,6.0,984.0,2957.75,17364.0
